"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP2286W64P254L4826H735Q30N";1;"NodeMCUv2";;;
2;"SPI0,EXT0";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";2;"Conn_01x06";;;
3;"J4,J1,J6";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";3;"Conn_01x02";;;
4;"U2";"SOT-23-5_HandSoldering";1;"LM27313XMF";;;
5;"U3";"TSSOP-14_4.4x5mm_P0.65mm";1;"TXB0104PWR";;;
6;"R14,R5,R4,R10,R11";"R_0603_1608Metric";5;"100";;;
7;"R13,R12,R1";"R_0603_1608Metric";3;"4.7k";;;
8;"Q2";"SOT-23";1;"IRLML6244";;;
9;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"Jumper_3_Bridged12";;;
10;"D3";"D_SOD-523";1;"ESD5Z12T1G";;;
11;"C19,C18,C17,C1,C16,C6";"C_0603_1608Metric";6;"100nF";;;
12;"C5";"C_0805_2012Metric";1;"4.7uF";;;
14;"J2";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Jack-DC";;;
15;"J5";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Conn_01x03";;;
16;"J7";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";1;"Conn_01x05";;;
17;"D1";"D_SMA";1;"1N4004";;;
18;"F1";"Fuse_1812_4532Metric";1;"Polyfuse";;;
19;"R9";"R_1206_3216Metric";1;"100R";;;
20;"C3,C12,C14";"C_0805_2012Metric";3;"10uF";;;
21;"C15,C9";"C_0603_1608Metric";2;"0.1uF";;;
22;"C4";"C_0603_1608Metric";1;"220pF";;;
23;"C8,CFF1";"C_0603_1608Metric";2;"1uF";;;
24;"D2";"D_SOD-123";1;"MBR0520L";;;
25;"R7";"R_0603_1608Metric";1;"1.0k";;;
26;"R6";"R_0603_1608Metric";1;"2.0k";;;
27;"R3";"R_0603_1608Metric";1;"117K";;;
28;"R2";"R_0603_1608Metric";1;"13.3K";;;
29;"L1";"L_Wuerth_MAPI-4020";1;"10uH";;;
30;"IC1";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"HX711";;;
31;"R8";"R_0603_1608Metric";1;"10R";;;
32;"Q1";"SOT-23";1;"BC857C";;;
33;"C13,C7";"CP_EIA-3528-15_AVX-H";2;"100uF/6.3V";;;
34;"C11,C10";"C_0603_1608Metric";2;"10nF";;;
